IDEmpresa;Nombre Comercial;Web;Dirección;C.P.;Localidad;Provincia;HEART OF SPAIN
235;REPOSTERIA ARTESANA LA TIA MELITONA;www.latiamelitona.com;CALLE JOSE VELAZQUEZ 19;47480;FRESNO EL VIEJO;VALLADOLID;
263;JAMONES DE EL GEMELO;www.jamoneselgemelo.com;POL. INDUSTRIAL LOS LLANOS PARC. 49-5;09260;PRADOLUENGO;BURGOS;
1040;ALERE VITAL;www.alerevital.com;CARRETERA VILLALPANDO KM. 13;49023;ZAMORA;ZAMORA;
1106;GLUS;www.cooperativaglus.es;CARRETERA DE SEGOVIA S/N;40200;CUELLAR;SEGOVIA;
1221;BIOBARDALES;www.biobardales.com;CARRETERA SEGOVIA KM. 0,6;40176;ARENAL (EL);SEGOVIA;
1476;QUESOS GAMAZO;www.quesos-gamazo-tirso-gamazo-carreras-quintana-del.negocio.site;AVENIDA DE CALVO SOTELO 19;34250;QUINTANA DEL PUENTE;PALENCIA;
1528;CONFITERIA GARROTE;www.confiteriagarrote.com;CALLE LA MAGDALENA 6;47160;ARRABAL DE PORTILLO;VALLADOLID;
1720;HIJO DE MACARIO MARCOS;www.lasalmantina.com;CALLE CARREANCHA 37  BAJO;37427;VELLES (LA);SALAMANCA;
1796;HORTALIZAS BAZAN;;CARRETERA ZAMORA KM. 390;47100;TORDESILLAS;VALLADOLID;
1870;LACTEAS SAN VICENTE;www.lsanvicente.com;AVENIDA LA LIBERTAD 24;24193;NAVATEJERA;LEON;
2343;GRUPO MIGUEL VERGARA;www.miguelvergara.com;POL. INDUSTRIAL EL ESPARRAGAL PARC. 51;47155;SANTOVENIA DE PISUERGA;VALLADOLID;
2688;PIÑONSOL CYL;www.pinonsol.com;CALLE CALERA 15;47430;PEDRAJAS DE SAN ESTEBAN;VALLADOLID;AUTORIZADO
2735;PRODUCTOS CARNICOS BRISA;www.ibericosbrisa.com;CALLE CAMILO JOSE CELA 21;37770;GUIJUELO;SALAMANCA;
2751;PRODUCTOS IBERICOS GOMEZ;www.pigosa.es;CARRETERA GENERAL 36;37600;TAMAMES;SALAMANCA;
2780;QUESOS Y LACTEOS PUEBLA LUIS;www.queseriaartesanaldelriocarrion.es;CALLE EL RIO 3;34128;SERNA (LA);PALENCIA;
